id,Review,Персонал,Covid19,Неверные данные,Сроки,Анализы,Очередь,Хамство
1,"Довожу до Вашего сведения, что г. на горячую линию обратилась клиент ФИО, телефон) с жалобой на ПЗ Сочи.  Клиент (дата) обратилась в указанный ПЗ с вопросом сдачи биоматериала на ряд исследований , в том числе комплексных пакетов.  Клиент недовольна тем, что в ПЗ пациенты находились без масок и перчаток, сотрудник на регистратуре также работала без перчаток. Клиент также недовольна тем, что сотрудник разговаривала с клиентом нехотя, отказывалась консультировать клиента, объясняя отказ тем, что «зависает» компьютер, пока клиент не пригрозила оставить жалобу. В середине разговора сотрудник ушла в туалет. После посещения туалета сотрудник не обработала руки при пациенте.  Клиент просит разобраться и принять меры.   Ждет звонка администрации.",1,1,0,0,0,0,1
2,"Довожу до Вашего сведения, что (дата) на горячую линию обратился клиент (ФИО, тел.) с жалобой на ПЗ. Клиент обратился  в указанный ПЗ (дата) для сдачи биоматериала на ряд исследований. Клиент предъявил сотруднику ПЗ 2 подарочных сертификата арендодателям номиналом 1000р. каждый для оплаты заказа. Клиент недоволен тем, что сотрудник в общении с клиентом позволяла себе «хамство», отказалась принимать сертификаты в качестве оплаты.   Клиент просит разобраться и принять меры.   Ждет звонка администрации.",1,0,0,0,0,0,1
3,"Довожу до Вашего сведения, что (дата) на горячую линию обратилась клиент (ФИО, тел.) с жалобой на правила предоставления услуги «Выезд на дом». Клиент оформила услугу «Выезд на дом медицинской сестры» на (дата) Клиент недовольна тем, что ожидать медсестру необходимо с 7:00 до 12:00.  Клиент не смогла дождаться медицинской сестры по причине приема лекарственных препаратов по беременности и отменила вызов.  Клиент просит разобраться и принять меры.   Ждет звонка администрации",1,0,0,1,0,0,0
4,"     Довожу до Вашего сведения, что (дата) на горячую линию обратилась клиент (ФИО, тел.) с жалобой на ПЗ.  Клиент недовольна качеством обслуживания. Клиенту удобно обращаться в указанный ПЗ. Клиент недовольна тем, что сотрудник общается неприветливо, не отвечает на вопросы   клиента по   подготовке и правилах сбора и хранения биоматериала. Клиент просит разобраться и принять меры. Ждет   звонка администрации. ",1,0,0,0,0,0,1
5,"Довожу до Вашего сведения, что (дата) на горячую линию обратился клиент (ФИО, тел.) с жалобой на ПЗ. Жена клиента ФИО  обратилась  в указанный ПЗ  (дата) по предварительной записи на УЗИ – обследование.  Клиент недоволен тем, что врач УЗИ в этот день не вел прием.  Клиент просит разобраться и принять меры. Ждет   звонка администрации.",1,0,0,1,0,0,0
6,"Довожу до Вашего сведения, что (дата) на горячую линию обратилась клиент (ФИО, тел.) с жалобой на ПЗ.  Клиент обратилась  в указанный ПЗ (дата) во второй половине для сдачи биоматериала  своему ребенку.   Клиент недовольна тем, что в указанном ПЗ ведется прием на исследование «Коронавирус». Клиент также недовольна тем, что на сайте компании и в других источниках не размещена информация о режиме приема биоматериала на стандартные исследования и на исследование «Коронавирус». Клиент просит разобраться и принять меры. Ждет   звонка администрации. ",0,1,0,0,0,0,0
7,"Довожу до Вашего сведения, что (дата) на горячую линию обратился клиент (ФИО, тел.) с жалобой на ПЗ. Клиент обратился в указанный ПЗ (дата) в 12:00 по предварительной записи для сдачи биоматериала на исследование «Коронавирус». Клиент недоволен тем, что сотрудник отказала клиенту в приеме биоматериала, объяснив отказ тем, что ПЗ закрыт под обслуживание корпоративных клиентов. Клиент просит разобраться и принять меры. Ждет звонка администрации.",1,1,0,0,0,0,0
8,"Довожу до Вашего сведения, что (дата) на горячую линию обратилась клиент (дата) с жалобой на ПЗ.  Клиент обратилась  в указанный ПЗ (дата) до 12:00 для сдачи биоматериала.   Клиент недовольна тем, что сотрудник отказала клиенту в приеме биоматериала, объяснив отказ тем, что начала обслуживание клиентов организации. Клиент просит разобраться и принять меры. Ждет   звонка администрации. ",1,0,0,1,0,1,0
9,"Довожу до Вашего сведения, что (дата) на горячую линию обратилась клиент (ФИО, тел.) с жалобой на оператора контакт-центра.  Клиент (дата) обратилась на горячую линию с вопросом сдачи биоматериала на ряд исследований в г. Анапа. Оператор проинформировала клиента о том, что биоматериал на исследования она может сдать до 12:00.  Клиент (дата). в 11:50 обратился в ПЗ Анапа. Клиент недоволен тем, что в ПЗ уже велось оформление  пациента на исследование «Короновирус». Сотрудник ПЗ попросила клиента подождать на улице. Клиент повторно обратилась на горячую линию. Оператор предложила клиенту обратиться в другой ПЗ  до 14:00. Клиент недовольна тем, что в предложенном ПЗ клиенту также отказали. Клиент просит разобраться и принять меры.   Ждет звонка администрации.",1,1,0,1,0,0,0
10,"Довожу до Вашего сведения, что (дата) на горячую линию обратилась клиент (ФИО, тел.) с жалобой на выездную медсестру.  Клиент оформила услугу «Выезд медицинской сестры на дом» на (дата). Клиент для получения результата указала сотруднику адрес электронной почты. Клиент недовольна тем, что сотрудник не внесла в заказ электронную почту. По этой причине клиент не смогла получить результат. Клиент просит разобраться и принять меры. Ждет   звонка администрации. ",1,0,1,0,0,0,0
